new_id,old_id,year,venue,title,concern_level,reason,metadata_source,paper_url,evidence
P014,P039,2025,NeurIPS 2025,Self-Boost via Optimal Retraining: An Analysis via Approximate Message Passing.,Medium,title/abstract lacks explicit noisy-label or label-noise wording,direct,https://neurips.cc/virtual/2025/poster/116800,Self-Boost via Optimal Retraining: An Analysis via Approximate Message Passing. NeurIPS Poster Self-Boost via Optimal Retraining: An Analysis via Approximate Message Passing
P016,P047,2025,ICML 2025,Retraining with Predicted Hard Labels Provably Increases Model Accuracy.,Medium,main framing looks outside standard Classification LNL: pseudo-label/retraining theory rather than noisy-label benchmarks; title/abstract lacks explicit noisy-label or label-noise wording,direct,https://proceedings.mlr.press/v267/das25b.html,"Retraining with Predicted Hard Labels Provably Increases Model Accuracy. Retraining with Predicted Hard Labels Provably Increases Model Accuracy Retraining with Predicted Hard Labels Provably Increases Model AccuracyRudrajit Das, Inderjit S"
P038,P134,2024,ICLR 2024,Understanding and Mitigating the Label Noise in Pre-training on Downstream Tasks.,Medium,title/abstract contains non-standard task/domain cues: open-set/OOD setting,openreview-api,https://openreview.net/forum?id=TjhUtloBZU,Understanding and Mitigating the Label Noise in Pre-training on Downstream Tasks. Understanding and Mitigating the Label Noise in Pre-training on Downstream Tasks Pre-training on large-scale datasets and then fine-tuning on downstream tasks
P044,P150,2024,CVPR 2024,L2B: Learning to Bootstrap Robust Models for Combating Label Noise.,High,"title/abstract contains non-standard task/domain cues: segmentation; has label-noise wording, but no clear CIFAR/class-dependent/instance-dependent-style standard-classification cue was found",direct,https://openaccess.thecvf.com/content/CVPR2024/html/Zhou_L2B_Learning_to_Bootstrap_Robust_Models_for_Combating_Label_Noise_CVPR_2024_paper.html,elivers competitive results spanning natural and medical imaging tasks including classification and segmentation under both synthetic and real-world noise. Extensive experiments demonstrate that our method effectively mitigates the challenges of noisy
P054,P171,2024,AAAI 2024,Contrastive Credibility Propagation for Reliable Semi-supervised Learning.,Medium,"title/abstract contains non-standard task/domain cues: open-set/OOD setting; has label-noise wording, but no clear CIFAR/class-dependent/instance-dependent-style standard-classification cue was found",direct,https://ojs.aaai.org/index.php/AAAI/article/view/30124,"baseline. Using benchmark datasets, we craft five common real-world SSL data scenarios: few-label, open-set, noisy-label, and class distribution imbalance/misalignment in the labeled and unlabeled sets. We propose a novel algorithm called Contrast"
P066,P204,2023,NeurIPS 2023,Label Poisoning is All You Need.,High,title/abstract contains non-standard task/domain cues: data-poisoning/backdoor setting; main framing looks outside standard Classification LNL: knowledge distillation/label smoothing focus; label poisoning/backdoor attack; title/abstract lacks explicit noisy-label or label-noise wording,direct,https://arxiv.org/abs/2310.18933,"Label Poisoning is All You Need. Label Poisoning is All You Need In a backdoor attack, an adversary injects corrupted data into a model's training dataset in order to gain control over its predictions on images with a specific attacker-defi"
P067,P205,2023,NeurIPS 2023,IPMix: Label-Preserving Data Augmentation Method for Training Robust Classifiers.,Medium,main framing looks outside standard Classification LNL: robust data augmentation rather than LNL; title/abstract lacks explicit noisy-label or label-noise wording,openreview-api,https://openreview.net/forum?id=No52399wXA,IPMix: Label-Preserving Data Augmentation Method for Training Robust Classifiers. IPMix: Label-Preserving Data Augmentation Method for Training Robust Classifiers Data augmentation has been proven effective for training high-accuracy convol
P074,P225,2023,ICML 2023,"Label Distributionally Robust Losses for Multi-class Classification: Consistency, Robustness and Adaptivity.",Medium,title/abstract lacks explicit noisy-label or label-noise wording,direct,https://proceedings.mlr.press/v202/zhu23o.html,"Label Distributionally Robust Losses for Multi-class Classification: Consistency, Robustness and Adaptivity. Label Distributionally Robust Losses for Multi-class Classification: Consistency, Robustness and Adaptivity Label Distributionally"
P077,P234,2023,ICLR 2023,Memorization-Dilation: Modeling Neural Collapse Under Noise.,Medium,title/abstract lacks explicit noisy-label or label-noise wording,direct+semantic-scholar,,Memorization-Dilation: Modeling Neural Collapse Under Noise. Memorization-Dilation: Modeling Neural Collapse Under Noise
P080,P237,2023,ICLR 2023,SoftMatch: Addressing the Quantity-Quality Tradeoff in Semi-supervised Learning.,Medium,main framing looks outside standard Classification LNL: semi-supervised learning rather than noisy-label learning,direct,,SoftMatch: Addressing the Quantity-Quality Tradeoff in Semi-supervised Learning.
P081,P238,2023,ICLR 2023,MCAL: Minimum Cost Human-Machine Active Labeling.,Medium,main framing looks outside standard Classification LNL: active labeling/data annotation; title/abstract lacks explicit noisy-label or label-noise wording,direct+semantic-scholar,,"MCAL: Minimum Cost Human-Machine Active Labeling. MCAL: Minimum Cost Human-Machine Active Labeling Today, ground-truth generation uses data sets annotated by cloud-based annotation services. These services rely on human annotation, which ca"
P082,P257,2023,CVPR 2023,Twin Contrastive Learning with Noisy Labels.,Medium,title/abstract contains non-standard task/domain cues: open-set/OOD setting,direct,https://arxiv.org/abs/2303.06930,"Twin Contrastive Learning with Noisy Labels. Twin Contrastive Learning with Noisy Labels Learning from noisy data is a challenging task that significantly degenerates the model performance. In this paper, we present TCL, a novel twin contra"
P112,P338,2022,ICML 2022,Beyond Images: Label Noise Transition Matrix Estimation for Tasks with Lower-Quality Features.,Medium,"title/abstract contains non-standard task/domain cues: NLP/text domain; has label-noise wording, but no clear CIFAR/class-dependent/instance-dependent-style standard-classification cue was found",direct,https://arxiv.org/abs/2202.01273,"Beyond Images: Label Noise Transition Matrix Estimation for Tasks with Lower-Quality Features. Beyond Images: Label Noise Transition Matrix Estimation for Tasks with Lower-Quality Features The label noise transition matrix, denoting the tra"
P119,P347,2022,ICLR 2022,Resolving Training Biases via Influence-based Data Relabeling.,Medium,title/abstract lacks explicit noisy-label or label-noise wording,direct+semantic-scholar,,Resolving Training Biases via Influence-based Data Relabeling. Resolving Training Biases via Influence-based Data Relabeling
P122,P350,2022,ICLR 2022,Meta Discovery: Learning to Discover Novel Classes given Very Limited Data.,Medium,main framing looks outside standard Classification LNL: novel-class discovery,direct,,Meta Discovery: Learning to Discover Novel Classes given Very Limited Data.
P134,P382,2022,AAAI 2022,Noise-Robust Learning from Multiple Unsupervised Sources of Inferred Labels.,Medium,title/abstract contains non-standard task/domain cues: graph learning,direct,https://ojs.aaai.org/index.php/AAAI/article/view/20806,"periments using nine real-world datasets for three different classification tasks (images, text and graph nodes). Our results show that our approach achieves notable improvements (e.g., 6.4% in accuracy) against state-of-the-art baselines while"
P139,P401,2022,ArXiv 2022,Benign Overfitting without Linearity: Neural Network Classifiers Trained by Gradient Descent for Noisy Linear Data.,Medium,title/abstract lacks explicit noisy-label or label-noise wording,direct,"https://arxiv.org/abs/2202.05928#:~:text=11%20Feb%202022%5D-,Benign%20Overfitting%20without%20Linearity%3A%20Neural%20Network%20Classifiers%20Trained%20by,Descent%20for%20Noisy%20Linear%20Data&text=Abstract%3A%20Benign%20overfitting%2C%20the%20phenomenon,models%20trained%20with%20gradient%20descent.",Benign Overfitting without Linearity: Neural Network Classifiers Trained by Gradient Descent for Noisy Linear Data. Benign Overfitting without Linearity: Neural Network Classifiers Trained by Gradient Descent for Noisy Linear Data Benign ov
P141,P403,2022,ArXiv 2022,Learning to Bootstrap for Combating Label Noise.,High,"title/abstract contains non-standard task/domain cues: segmentation; has label-noise wording, but no clear CIFAR/class-dependent/instance-dependent-style standard-classification cue was found",direct,https://arxiv.org/abs/2202.04291,elivers competitive results spanning natural and medical imaging tasks including classification and segmentation under both synthetic and real-world noise. Extensive experiments demonstrate that our method effectively mitigates the challenges of noisy
P146,P413,2021,NeurIPS 2021,Can Less be More? When Increasing-to-Balancing Label Noise Rates Considered Beneficial.,High,"title/abstract contains non-standard task/domain cues: fairness/protected-attribute task; has label-noise wording, but no clear CIFAR/class-dependent/instance-dependent-style standard-classification cue was found",direct,"https://arxiv.org/abs/2107.05913#:~:text=We%20are%20primarily%20inspired%20by,fairness%20guarantees%20against%20label%20bias.","increasing-to-balancing) results in an easier learning problem; 3) Increasing-to-balancing improves fairness guarantees against label bias. In this paper, we first quantify the trade-offs introduced by increasing a certain group of instances' label"
P153,P420,2021,NeurIPS 2021,Combating Noise: Semi-supervised Learning by Region Uncertainty Quantification.,High,"title/abstract contains non-standard task/domain cues: object detection; has label-noise wording, but no clear CIFAR/class-dependent/instance-dependent-style standard-classification cue was found",direct,https://arxiv.org/abs/2111.00928,"primarily focus on image classification. In this paper, we delve into semi-supervised learning for object detection, where labeled data are more labor-intensive to collect. Current methods are easily distracted by noisy regions generated by pseu"
P154,P421,2021,NeurIPS 2021,DP-SSL: Towards Robust Semi-supervised Learning with A Few Labeled Samples.,Medium,main framing looks outside standard Classification LNL: semi-supervised learning rather than noisy-label learning,direct,https://arxiv.org/abs/2110.13740,DP-SSL: Towards Robust Semi-supervised Learning with A Few Labeled Samples. DP-SSL: Towards Robust Semi-supervised Learning with A Few Labeled Samples The scarcity of labeled data is a critical obstacle to deep learning. Semi-supervised lea
P174,P463,2021,CVPR 2021,Faster Meta Update Strategy for Noise-Robust Deep Learning.,High,paper link title appears to mismatch the README title; title/abstract lacks explicit noisy-label or label-noise wording,direct,https://github.com/youjiangxu/FaMUS/tree/main/paper,Faster Meta Update Strategy for Noise-Robust Deep Learning. FaMUS/paper at main · youjiangxu/FaMUS Contribute to youjiangxu/FaMUS development by creating an account on GitHub.
P178,P467,2021,CVPR 2021,All Labels Are Not Created Equal: Enhancing Semi-supervision via Label Grouping and Co-training.,Medium,title/abstract lacks explicit noisy-label or label-noise wording,direct,https://arxiv.org/abs/2104.05248,All Labels Are Not Created Equal: Enhancing Semi-supervision via Label Grouping and Co-training. All Labels Are Not Created Equal: Enhancing Semi-supervision via Label Grouping and Co-training Pseudo-labeling is a key component in semi-supe
P179,P468,2021,CVPR 2021,ProSelfLC: Progressive Self Label Correction for Training Robust Deep Neural Networks.,Medium,title/abstract lacks explicit noisy-label or label-noise wording,direct,https://openaccess.thecvf.com/content/CVPR2021/html/Wang_ProSelfLC_Progressive_Self_Label_Correction_for_Training_Robust_Deep_Neural_CVPR_2021_paper.html,"ProSelfLC: Progressive Self Label Correction for Training Robust Deep Neural Networks. ProSelfLC: Progressive Self Label Correction for Training Robust Deep Neural Networks To train robust deep neural networks (DNNs), we systematically stud"
P182,P480,2021,ICCV 2021,Learning From Noisy Data With Robust Representation Learning.,Medium,"title/abstract contains non-standard task/domain cues: open-set/OOD setting; has label-noise wording, but no clear CIFAR/class-dependent/instance-dependent-style standard-classification cue was found",direct,https://openaccess.thecvf.com/content/ICCV2021/html/Li_Learning_From_Noisy_Data_With_Robust_Representation_Learning_ICCV_2021_paper.html,"Learning From Noisy Data With Robust Representation Learning. Learning From Noisy Data With Robust Representation Learning Learning from noisy data has attracted much attention, where most methods focus on label noise. In this work, we prop"
P188,P489,2021,AAAI 2021,Analysing the Noise Model Error for Realistic Noisy Label Data.,Medium,"title/abstract contains non-standard task/domain cues: NLP/text domain; has label-noise wording, but no clear CIFAR/class-dependent/instance-dependent-style standard-classification cue was found",direct,https://arxiv.org/abs/2101.09763,"ults on commonly used synthetic noise, we also publish NoisyNER, a new noisy label dataset from the NLP domain that was obtained through a realistic distant supervision technique. It provides seven sets of labels with differing noise patterns"
P199,P503,2021,ArXiv 2021,Learning with Noisy Labels by Targeted Relabeling.,High,paper link title appears to mismatch the README title,direct,https://arxiv.org/abs/2110.08355,Learning with Noisy Labels by Targeted Relabeling. Clean or Annotate: How to Spend a Limited Data Collection Budget Crowdsourcing platforms are often used to collect datasets for training machine
P209,P513,2021,ArXiv 2021,Approximating Instance-Dependent Noise via Instance-Confidence Embedding.,Medium,title/abstract contains non-standard task/domain cues: NLP/text domain,direct,https://arxiv.org/abs/2103.13569,Approximating Instance-Dependent Noise via Instance-Confidence Embedding. Approximating Instance-Dependent Noise via Instance-Confidence Embedding Label noise in multiclass classification is a major obstacle to the deployment of learning sy
P226,P566,2021,Other Conferences 2021,(IJCAI2021 Workshop) An Ensemble Noise-Robust K-fold Cross-Validation Selection Method for Noisy Labels.,Medium,title/abstract contains non-standard task/domain cues: NLP/text domain,direct,https://arxiv.org/abs/2107.02347,(IJCAI2021 Workshop) An Ensemble Noise-Robust K-fold Cross-Validation Selection Method for Noisy Labels. An Ensemble Noise-Robust K-fold Cross-Validation Selection Method for Noisy Labels We consider the problem of training robust and accur
P232,P574,2020,NIPS 2020,Robust Optimization for Fairness with Noisy Protected Groups.,High,title/abstract contains non-standard task/domain cues: fairness/protected-attribute task; main framing looks outside standard Classification LNL: fairness with noisy protected attributes; title/abstract lacks explicit noisy-label or label-noise wording,direct,https://papers.nips.cc/paper/2020/hash/37d097caf1299d9aa79c2c2b843d2d78-Abstract.html,Robust Optimization for Fairness with Noisy Protected Groups. Robust Optimization for Fairness with Noisy Protected Groups
P234,P576,2020,NIPS 2020,Self-Adaptive Training: beyond Empirical Risk Minimization.,Medium,title/abstract lacks explicit noisy-label or label-noise wording,direct,https://proceedings.neurips.cc//paper/2020/hash/e0ab531ec312161511493b002f9be2ee-Abstract.html,Self-Adaptive Training: beyond Empirical Risk Minimization. Self-Adaptive Training: beyond Empirical Risk Minimization
P235,P577,2020,NIPS 2020,Provably Consistent Partial-Label Learning.,Medium,main framing looks outside standard Classification LNL: partial-label learning rather than label-noise learning; title/abstract lacks explicit noisy-label or label-noise wording,direct,https://papers.nips.cc/paper/2020/hash/7bd28f15a49d5e5848d6ec70e584e625-Abstract.html,Provably Consistent Partial-Label Learning. Provably Consistent Partial-Label Learning
P240,P592,2020,ICML 2020,Training Binary Neural Networks through Learning with Noisy Supervision.,Medium,main framing looks outside standard Classification LNL: binary neural-network training with noisy supervision; title/abstract lacks explicit noisy-label or label-noise wording,direct,http://proceedings.mlr.press/v119/han20d.html,"Training Binary Neural Networks through Learning with Noisy Supervision. Training Binary Neural Networks through Learning with Noisy Supervision Training Binary Neural Networks through Learning with Noisy SupervisionKai Han, Yunhe Wang, Yix"
P251,P615,2020,CVPR 2020,Self-Training With Noisy Student Improves ImageNet Classification.,Medium,"main framing looks outside standard Classification LNL: Noisy Student self-training, not noisy-label supervision; title/abstract lacks explicit noisy-label or label-noise wording",direct,http://openaccess.thecvf.com/content_CVPR_2020/html/Xie_Self-Training_With_Noisy_Student_Improves_ImageNet_Classification_CVPR_2020_paper.html,"Self-Training With Noisy Student Improves ImageNet Classification. Self-Training With Noisy Student Improves ImageNet Classification We present a simple self-training method that achieves 88.4% top-1 accuracy on ImageNet, which is 2.0% bett"
P253,P617,2020,CVPR 2020,Revisiting Knowledge Distillation via Label Smoothing Regularization.,Medium,main framing looks outside standard Classification LNL: knowledge distillation/label smoothing focus; title/abstract lacks explicit noisy-label or label-noise wording,direct,https://openaccess.thecvf.com/content_CVPR_2020/html/Yuan_Revisiting_Knowledge_Distillation_via_Label_Smoothing_Regularization_CVPR_2020_paper.html,Revisiting Knowledge Distillation via Label Smoothing Regularization. Revisiting Knowledge Distillation via Label Smoothing Regularization Knowledge Distillation (KD) aims to distill the knowledge of a cumbersome teacher model into a lightw
P254,P618,2020,CVPR 2020,Task Agnostic Robust Learning on Corrupt Outputs by Correlation-Guided Mixture Density Networks.,Medium,title/abstract lacks explicit noisy-label or label-noise wording,direct,https://openaccess.thecvf.com/content_CVPR_2020/html/Choi_Task_Agnostic_Robust_Learning_on_Corrupt_Outputs_by_Correlation-Guided_Mixture_CVPR_2020_paper.html,"Task Agnostic Robust Learning on Corrupt Outputs by Correlation-Guided Mixture Density Networks. Task Agnostic Robust Learning on Corrupt Outputs by Correlation-Guided Mixture Density Networks In this paper, we focus on weakly supervised le"
P257,P638,2020,AAAI 2020,Reinforcement Learning with Perturbed Rewards.,High,title/abstract contains non-standard task/domain cues: reinforcement-learning reward-noise setting; main framing looks outside standard Classification LNL: reward-noise reinforcement learning; title/abstract lacks explicit noisy-label or label-noise wording,direct,https://arxiv.org/abs/1810.01032,"Reinforcement Learning with Perturbed Rewards. Reinforcement Learning with Perturbed Rewards Recent studies have shown that reinforcement learning (RL) models are vulnerable in various noisy scenarios. For instance, the observed reward chan"
P258,P639,2020,AAAI 2020,Less Is Better: Unweighted Data Subsampling via Influence Function.,Medium,title/abstract contains non-standard task/domain cues: NLP/text domain; main framing looks outside standard Classification LNL: generic data subsampling/influence-function method; title/abstract lacks explicit noisy-label or label-noise wording,direct,https://arxiv.org/abs/1912.01321,"Less Is Better: Unweighted Data Subsampling via Influence Function. Less Is Better: Unweighted Data Subsampling via Influence Function In the time of Big Data, training complex models on large-scale data sets is challenging, making it appea"
