new_id,old_id,new_anchor,old_anchor,year,venue,title,paper_links,code_links,source_line
P001,P001,paper-001,paper-001,2026,ICLR 2026,Enhancing Learning with Noisy Labels via Rockafellian Relaxation.,https://openreview.net/forum?id=g4EpGiN5X3,,331
P002,P002,paper-002,paper-002,2026,ICLR 2026,TrainRef: Curating Data with Label Distribution and Minimal Reference for Accurate Prediction and Reliable Confidence.,https://openreview.net/forum?id=jSs8CDsF0A,,335
P003,P003,paper-003,paper-003,2026,ICLR 2026,Resurfacing the Instance-only Dependent Label Noise Model through Loss Correction.,https://openreview.net/forum?id=tuvkrivvbG,,340
P004,P014,paper-004,paper-014,2026,CVPR 2026,Deconstructing the Failure of Ideal Noise Correction: A Three-Pillar Diagnosis.,https://arxiv.org/abs/2603.12997,,410
P005,P015,paper-005,paper-015,2026,CVPR 2026,Debiased Sample Selection for Learning with Noisy Labels.,https://www.eric-weiwei.com/,,415
P006,P019,paper-006,paper-019,2026,AAAI 2026,Leveraging Dissimilarity Invariance as a Robust Anchor for Learning with Noisy Labels.,https://ojs.aaai.org/index.php/AAAI/article/view/37381,,442
P007,P020,paper-007,paper-020,2026,AAAI 2026,On the Learning Dynamics of Two-layer Linear Networks with Label Noise SGD.,https://arxiv.org/abs/2603.10397,,447
P008,P021,paper-008,paper-021,2026,AAAI 2026,Is the Information Bottleneck Robust Enough? Towards Label-Noise Resistant Information Bottleneck Learning.,https://arxiv.org/abs/2512.10573,,452
P009,P032,paper-009,paper-032,2026,Top Journals 2026,Continuous Review and Timely Correction: Enhancing the Resistance to Noisy Labels via Self-Not-True and Class-Wise Distillation. (Published on TPAMI),https://doi.org/10.1109/TPAMI.2025.3649111,,523
P010,P033,paper-010,paper-033,2026,Top Journals 2026,Affinity-aware Uncertainty Quantification for Learning with Noisy Labels. (Published on Pattern Recognition),https://www.sciencedirect.com/science/article/pii/S0031320325011586,,527
P011,P036,paper-011,paper-036,2025,NeurIPS 2025,Learning to Clean: Reinforcement Learning for Noisy Label Correction.,https://nips.cc/virtual/2025/poster/115438,,547
P012,P037,paper-012,paper-037,2025,NeurIPS 2025,Enhancing Sample Selection Against Label Noise by Cutting Mislabeled Easy Examples.,https://neurips.cc/virtual/2025/poster/118281,,551
P013,P038,paper-013,paper-038,2025,NeurIPS 2025,Handling Label Noise via Instance-Level Difficulty Modeling and Dynamic Optimization.,https://nips.cc/virtual/2025/poster/116524,https://github.com/iTheresaApocalypse/IDO,555
P014,P039,paper-014,paper-039,2025,NeurIPS 2025,Self-Boost via Optimal Retraining: An Analysis via Approximate Message Passing.,https://neurips.cc/virtual/2025/poster/116800,,559
P015,P046,paper-015,paper-046,2025,ICML 2025,On the Role of Label Noise in the Feature Learning Process.,https://proceedings.mlr.press/v267/han25c.html,,601
P016,P047,paper-016,paper-047,2025,ICML 2025,Retraining with Predicted Hard Labels Provably Increases Model Accuracy.,https://proceedings.mlr.press/v267/das25b.html,,606
P017,P064,paper-017,paper-064,2025,ICCV 2025,CA2C: A Prior-Knowledge-Free Approach for Robust Label Noise Learning via Asymmetric Co-learning and Co-training.,https://openaccess.thecvf.com/content/ICCV2025/html/Sheng_CA2C_A_Prior-Knowledge-Free_Approach_for_Robust_Label_Noise_Learning_via_ICCV_2025_paper.html,,715
P018,P065,paper-018,paper-065,2025,ICCV 2025,Meta-Learning Dynamic Center Distance: Hard Sample Mining for Learning with Noisy Labels.,https://openaccess.thecvf.com/content/ICCV2025/html/Mu_Meta-Learning_Dynamic_Center_Distance_Hard_Sample_Mining_for_Learning_with_ICCV_2025_paper.html,,720
P019,P066,paper-019,paper-066,2025,ICCV 2025,Joint Asymmetric Loss for Learning with Noisy Labels.,https://openaccess.thecvf.com/content/ICCV2025/html/Wang_Joint_Asymmetric_Loss_for_Learning_with_Noisy_Labels_ICCV_2025_paper.html,https://github.com/cswjl/joint-asymmetric-loss,725
P020,P070,paper-020,paper-070,2025,AAAI 2025,Combating Semantic Contamination in Learning with Label Noise.,https://ojs.aaai.org/index.php/AAAI/article/view/32293,,752
P021,P071,paper-021,paper-071,2025,AAAI 2025,Enhancing Noise-Robust Losses for Large-Scale Noisy Data Learning.,https://ojs.aaai.org/index.php/AAAI/article/view/32752,,757
P022,P072,paper-022,paper-072,2025,AAAI 2025,SAP: Corrective Machine Unlearning with Scaled Activation Projection for Label Noise Robustness.,https://ojs.aaai.org/index.php/AAAI/article/view/33972,,761
P023,P073,paper-023,paper-073,2025,AAAI 2025,Learning Causal Transition Matrix for Instance-dependent Label Noise.,https://arxiv.org/abs/2412.13516,,767
P024,P074,paper-024,paper-074,2025,AAAI 2025,Label Noise Correction via Fuzzy Learning Machine.,https://ojs.aaai.org/index.php/AAAI/article/view/34055,,771
P025,P075,paper-025,paper-075,2025,AAAI 2025,Enhanced Sample Selection with Confidence Tracking: Identifying Correctly Labeled Yet Hard-to-Learn Samples in Noisy Data.,https://arxiv.org/abs/2504.17474,,776
P026,P076,paper-026,paper-076,2025,AAAI 2025,Noisy Label Calibration for Multi-View Classification.,https://ojs.aaai.org/index.php/AAAI/article/view/35485/37640,,781
P027,P077,paper-027,paper-077,2025,AAAI 2025,Revisiting Interpolation for Noisy Label Correction.,https://ojs.aaai.org/index.php/AAAI/article/view/35489,,785
P028,P078,paper-028,paper-078,2025,AAAI 2025,Learning from Noisy Labels via Self-Taught On-the-Fly Meta Loss Rescaling.,https://arxiv.org/abs/2412.12955,,790
P029,P092,paper-029,paper-092,2025,Top Journals 2025,SplitNet: Learnable Clean-Noisy Label Splitting for Learning with Noisy Labels. (Published on IJCV),https://link.springer.com/article/10.1007/s11263-024-02187-4,,884
P030,P093,paper-030,paper-093,2025,Top Journals 2025,Improving the Instance-Dependent Transition Matrix Estimation by Exploiting Self-Supervised Learning. (Published on TPAMI),https://doi.org/10.1109/TPAMI.2025.3595613,,888
P031,P097,paper-031,paper-097,2024,Neurips 2024,Learning the Latent Causal Structure for Modeling Label Noise.,https://nips.cc/virtual/2024/poster/93700,,912
P032,P098,paper-032,paper-098,2024,Neurips 2024,Learning from Noisy Labels via Conditional Distributionally Robust Optimization.,https://nips.cc/virtual/2024/poster/96820,,916
P033,P099,paper-033,paper-099,2024,Neurips 2024,Label Noise: Ignorance Is Bliss.,https://nips.cc/virtual/2024/poster/94205,,920
P034,P113,paper-034,paper-113,2024,ICML 2024,Pi-DUAL: Using privileged information to distinguish clean from noisy labels.,https://proceedings.mlr.press/v235/wang24bb.html,,999
P035,P114,paper-035,paper-114,2024,ICML 2024,Self-cognitive Denoising in the Presence of Multiple Noisy Label Sources.,https://proceedings.mlr.press/v235/sun24o.html,,1003
P036,P115,paper-036,paper-115,2024,ICML 2024,(KDD 2025) CLID-MU: Cross-Layer Information Divergence Based Meta Update Strategy for Learning with Noisy Labels.,https://doi.org/10.1145/3711896.3736880,,1007
P037,P116,paper-037,paper-116,2024,ICML 2024,"(IJCAI 2025) COLUR: Confidence-Oriented Learning, Unlearning and Relearning with Noisy-Label Data for Model Restoration and Refinement.",https://www.ijcai.org/proceedings/2025/1038,,1012
P038,P134,paper-038,paper-134,2024,ICLR 2024,Understanding and Mitigating the Label Noise in Pre-training on Downstream Tasks.,https://openreview.net/forum?id=TjhUtloBZU,,1111
P039,P135,paper-039,paper-135,2024,ICLR 2024,Early Stopping Against Label Noise Without Validation Data.,https://openreview.net/forum?id=CMzF2aOfqp,,1116
P040,P136,paper-040,paper-136,2024,ICLR 2024,Why is SAM Robust to Label Noise?,https://openreview.net/forum?id=3aZCPl3ZvR,,1120
P041,P137,paper-041,paper-137,2024,ICLR 2024,Dirichlet-based Per-Sample Weighting by Transition Matrix for Noisy Label Learning.,https://openreview.net/forum?id=A4mJuFRMN8,,1125
P042,P148,paper-042,paper-148,2024,CVPR 2024,Estimating Noisy Class Posterior with Part-level Labels for Noisy Label Learning.,https://openaccess.thecvf.com/content/CVPR2024/html/Zhao_Estimating_Noisy_Class_Posterior_with_Part-level_Labels_for_Noisy_Label_CVPR_2024_paper.html,,1191
P043,P149,paper-043,paper-149,2024,CVPR 2024,Learning with Structural Labels for Learning with Noisy Labels.,https://openaccess.thecvf.com/content/CVPR2024/html/Kim_Learning_with_Structural_Labels_for_Learning_with_Noisy_Labels_CVPR_2024_paper.html,,1195
P044,P150,paper-044,paper-150,2024,CVPR 2024,L2B: Learning to Bootstrap Robust Models for Combating Label Noise.,https://openaccess.thecvf.com/content/CVPR2024/html/Zhou_L2B_Learning_to_Bootstrap_Robust_Models_for_Combating_Label_Noise_CVPR_2024_paper.html,,1199
P045,P156,paper-045,paper-156,2024,ECCV 2024,Foster Adaptivity and Balance in Learning with Noisy Labels.,https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/3908_ECCV_2024_paper.php,,1239
P046,P157,paper-046,paper-157,2024,ECCV 2024,LNL+K: Enhancing Learning with Noisy Labels Through Noise Source Knowledge Integration.,https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/7862_ECCV_2024_paper.php,,1243
P047,P158,paper-047,paper-158,2024,ECCV 2024,MTaDCS: Moving Trace and Feature Density-based Confidence Sample Selection under Label Noise.,https://www.ecva.net/papers/eccv_2024/papers_ECCV/html/8968_ECCV_2024_paper.php,,1247
P048,P165,paper-048,paper-165,2024,AAAI 2024,"Sxu Which Is More Effective in Label Noise Cleaning, Correction or Filtering?",https://ojs.aaai.org/index.php/AAAI/article/view/29183/30238,,1291
P049,P166,paper-049,paper-166,2024,AAAI 2024,Tackling Instance-Dependent Label Noise with Class Rebalance and Geometric Regularization.,https://doi.org/10.1145/3637528.3671707,,1296
P050,P167,paper-050,paper-167,2024,AAAI 2024,Regroup Median Loss for Combating Label Noise.,https://ojs.aaai.org/index.php/AAAI/article/view/29250,,1302
P051,P168,paper-051,paper-168,2024,AAAI 2024,Mitigating Label Noise through Data Ambiguation.,https://ojs.aaai.org/index.php/AAAI/article/view/29286,,1306
P052,P169,paper-052,paper-169,2024,AAAI 2024,Learning with Noisy Labels Using Hyperspherical Margin Weighting.,https://ojs.aaai.org/index.php/AAAI/article/view/29626,,1311
P053,P170,paper-053,paper-170,2024,AAAI 2024,Dirichlet-Based Prediction Calibration for Learning with Noisy Labels.,https://ojs.aaai.org/index.php/AAAI/article/view/29672,,1316
P054,P171,paper-054,paper-171,2024,AAAI 2024,Contrastive Credibility Propagation for Reliable Semi-supervised Learning.,https://ojs.aaai.org/index.php/AAAI/article/view/30124,,1321
P055,P184,paper-055,paper-184,2024,IJCAI 2024,Fine-tuning Pre-trained Models for Robustness under Noisy Labels.,https://www.ijcai.org/proceedings/2024/403,,1388
P056,P193,paper-056,paper-193,2024,ACM MM 2024,Enhancing Robustness in Learning with Noisy Labels: An Asymmetric Co-Training Approach.,https://doi.org/10.1145/3664647.3680924,,1453
P057,P194,paper-057,paper-194,2024,ACM MM 2024,Mitigate Catastrophic Remembering via Continual Knowledge Purification for Noisy Label Learning.,https://doi.org/10.1145/3664647.3680975,,1458
P058,P196,paper-058,paper-196,2024,Top Journals 2024,Tackling Noisy Labels with Network Parameter Additive Decomposition. (Published on TPAMI),https://doi.org/10.1109/TPAMI.2024.3367129,,1473
P059,P197,paper-059,paper-197,2024,Top Journals 2024,A Time-Consistency Curriculum for Learning from Instance-Dependent Noisy Labels. (Published on TPAMI),https://doi.org/10.1109/TPAMI.2024.3433918,,1477
P060,P198,paper-060,paper-198,2024,Top Journals 2024,BadLabel: A Robust Perspective on Evaluating and Enhancing Label-noise Learning. (Published on TPAMI),https://doi.org/10.1109/TPAMI.2024.3439233,,1483
P061,P199,paper-061,paper-199,2023,NeurIPS 2023,Robust Data Pruning under Label Noise via Maximizing Re-labeling Accuracy.,https://openreview.net/forum?id=xWCp0uLcpG,,1495
P062,P200,paper-062,paper-200,2023,NeurIPS 2023,Subclass-Dominant Label Noise: A Counterexample for the Success of Early Stopping.,https://openreview.net/forum?id=kR21XsZeAr,https://github.com/tmllab/2023_NeurIPS_SDN,1500
P063,P201,paper-063,paper-201,2023,NeurIPS 2023,Active Negative Loss Functions for Learning with Noisy Labels.,https://neurips.cc/virtual/2023/poster/71501,https://github.com/Virusdoll/Active-Negative-Loss,1505
P064,P202,paper-064,paper-202,2023,NeurIPS 2023,Training shallow ReLU networks on noisy data using hinge loss: when do we overfit and is it benign?,https://arxiv.org/abs/2306.09955,,1509
P065,P203,paper-065,paper-203,2023,NeurIPS 2023,CSOT: Curriculum and Structure-Aware Optimal Transport for Learning with Noisy Labels.,https://openreview.net/forum?id=y50AnAbKp1,https://github.com/changwxx/CSOT-for-LNL,1514
P066,P204,paper-066,paper-204,2023,NeurIPS 2023,Label Poisoning is All You Need.,https://arxiv.org/abs/2310.18933,https://github.com/SewoongLab/FLIP,1518
P067,P205,paper-067,paper-205,2023,NeurIPS 2023,IPMix: Label-Preserving Data Augmentation Method for Training Robust Classifiers.,https://openreview.net/forum?id=No52399wXA,,1523
P068,P219,paper-068,paper-219,2023,ICML 2023,Identifiability of Label Noise Transition Matrix.,https://proceedings.mlr.press/v202/liu23g,,1599
P069,P220,paper-069,paper-220,2023,ICML 2023,Which is Better for Learning with Noisy Labels: The Semi-supervised Method or Modeling Label Noise?,https://proceedings.mlr.press/v202/yao23a,,1604
P070,P221,paper-070,paper-221,2023,ICML 2023,CrossSplit: Mitigating Label Noise Memorization through Data Splitting.,http://proceedings.mlr.press/v202/kim23a/kim23a.pdf,https://github.com/SAITPublic/CrossSplit,1609
P071,P222,paper-071,paper-222,2023,ICML 2023,Understanding Self-Distillation in the Presence of Label Noise.,http://proceedings.mlr.press/v202/das23d/das23d.pdf,,1613
P072,P223,paper-072,paper-223,2023,ICML 2023,When does Privileged information Explain Away Label Noise?,https://proceedings.mlr.press/v202/ortiz-jimenez23a,,1619
P073,P224,paper-073,paper-224,2023,ICML 2023,Random Classification Noise does not defeat All Convex Potential Boosters Irrespective of Model Choice.,https://proceedings.mlr.press/v202/mansour23a.html,,1624
P074,P225,paper-074,paper-225,2023,ICML 2023,"Label Distributionally Robust Losses for Multi-class Classification: Consistency, Robustness and Adaptivity.",https://proceedings.mlr.press/v202/zhu23o.html,,1629
P075,P232,paper-075,paper-232,2023,ICLR 2023,Mitigating Memorization of Noisy Labels via Regularization between Representations.,,,1673
P076,P233,paper-076,paper-233,2023,ICLR 2023,On the Edge of Benign Overfitting: Label Noise and Overparameterization Level.,,,1678
P077,P234,paper-077,paper-234,2023,ICLR 2023,Memorization-Dilation: Modeling Neural Collapse Under Noise.,,,1683
P078,P235,paper-078,paper-235,2023,ICLR 2023,Quantifying and Mitigating the Impact of Label Errors on Model Disparity Metrics.,,,1688
P079,P236,paper-079,paper-236,2023,ICLR 2023,"A law of adversarial risk, interpolation, and label noise.",,,1693
P080,P237,paper-080,paper-237,2023,ICLR 2023,SoftMatch: Addressing the Quantity-Quality Tradeoff in Semi-supervised Learning.,,,1698
P081,P238,paper-081,paper-238,2023,ICLR 2023,MCAL: Minimum Cost Human-Machine Active Labeling.,,,1702
P082,P257,paper-082,paper-257,2023,CVPR 2023,Twin Contrastive Learning with Noisy Labels.,https://arxiv.org/abs/2303.06930,https://github.com/Hzzone/TCL,1800
P083,P258,paper-083,paper-258,2023,CVPR 2023,Learning from Noisy Labels with Decoupled Meta Label Purifier.,https://arxiv.org/abs/2302.06810,https://github.com/yuanpengtu/DMLP,1804
P084,P259,paper-084,paper-259,2023,CVPR 2023,DISC: Learning from Noisy Labels via Dynamic Instance-Specific Selection and Correction.,https://openaccess.thecvf.com/content/CVPR2023/papers/Li_DISC_Learning_From_Noisy_Labels_via_Dynamic_Instance-Specific_Selection_and_CVPR_2023_paper.pdf,https://github.com/jackyfl/disc,1809
P085,P260,paper-085,paper-260,2023,CVPR 2023,Fine-Grained Classification with Noisy Labels.,https://openaccess.thecvf.com/content/CVPR2023/papers/Wei_Fine-Grained_Classification_With_Noisy_Labels_CVPR_2023_paper.pdf,,1814
P086,P261,paper-086,paper-261,2023,CVPR 2023,OT-Filter: An Optimal Transport Filter for Learning With Noisy Labels.,https://openaccess.thecvf.com/content/CVPR2023/papers/Feng_OT-Filter_An_Optimal_Transport_Filter_for_Learning_With_Noisy_Labels_CVPR_2023_paper.pdf,,1818
P087,P262,paper-087,paper-262,2023,CVPR 2023,How To Prevent the Continuous Damage of Noises To Model Training?,https://openaccess.thecvf.com/content/CVPR2023/html/Yu_How_To_Prevent_the_Continuous_Damage_of_Noises_To_Model_CVPR_2023_paper.html,,1822
P088,P275,paper-088,paper-275,2023,ICCV 2023,PADDLES: Phase-Amplitude Spectrum Disentangled Early Stopping for Learning with Noisy Labels.,https://openaccess.thecvf.com/content/ICCV2023/papers/Huang_PADDLES_Phase-Amplitude_Spectrum_Disentangled_Early_Stopping_for_Learning_with_Noisy_ICCV_2023_paper.pdf,https://github.com/CoderHHX/PADDLES,1906
P089,P276,paper-089,paper-276,2023,ICCV 2023,Sample-wise Label Confidence Incorporation for Learning with Noisy Labels.,https://openaccess.thecvf.com/content/ICCV2023/papers/Ahn_Sample-wise_Label_Confidence_Incorporation_for_Learning_with_Noisy_Labels_ICCV_2023_paper.pdf,,1910
P090,P277,paper-090,paper-277,2023,ICCV 2023,LA-Net: Landmark-Aware Learning for Reliable Facial Expression Recognition under Label Noise.,https://openaccess.thecvf.com/content/ICCV2023/papers/Wu_LA-Net_Landmark-Aware_Learning_for_Reliable_Facial_Expression_Recognition_under_Label_ICCV_2023_paper.pdf,,1914
P091,P278,paper-091,paper-278,2023,ICCV 2023,Combating Noisy Labels with Sample Selection by Mining High-Discrepancy Examples.,https://openaccess.thecvf.com/content/ICCV2023/papers/Xia_Combating_Noisy_Labels_with_Sample_Selection_by_Mining_High-Discrepancy_Examples_ICCV_2023_paper.pdf,https://github.com/xiaoboxia/CoDis,1918
P092,P279,paper-092,paper-279,2023,ICCV 2023,RankMatch: Fostering Confidence and Consistency in Learning with Noisy Labels.,https://openaccess.thecvf.com/content/ICCV2023/papers/Zhang_RankMatch_Fostering_Confidence_and_Consistency_in_Learning_with_Noisy_Labels_ICCV_2023_paper.pdf,,1922
P093,P280,paper-093,paper-280,2023,ICCV 2023,Late Stopping: Avoiding Confidently Learning from Mislabeled Examples.,https://openaccess.thecvf.com/content/ICCV2023/html/Yuan_Late_Stopping_Avoiding_Confidently_Learning_from_Mislabeled_Examples_ICCV_2023_paper.html,,1927
P094,P281,paper-094,paper-281,2023,ICCV 2023,Enhanced Meta Label Correction for Coping with Label Corruption.,https://openaccess.thecvf.com/content/ICCV2023/html/Taraday_Enhanced_Meta_Label_Correction_for_Coping_with_Label_Corruption_ICCV_2023_paper.html,,1931
P095,P294,paper-095,paper-294,2023,AAAI 2023,Class-Independent Regularization for Learning with Noisy Labels.,https://ojs.aaai.org/index.php/AAAI/article/view/25434,,2004
P096,P295,paper-096,paper-295,2023,AAAI 2023,A Gift from Label Smoothing: Robust Training with Adaptive Label Smoothing via Auxiliary Classifier under Label Noise.,https://ojs.aaai.org/index.php/AAAI/article/view/26004,,2008
P097,P296,paper-097,paper-296,2023,AAAI 2023,Learning from Training Dynamics: Identifying Mislabeled Data beyond Manually Designed Features.,https://ojs.aaai.org/index.php/AAAI/article/view/25972,,2013
P098,P297,paper-098,paper-297,2023,AAAI 2023,USDNL: Uncertainty-Based Single Dropout in Noisy Label Learning.,https://ojs.aaai.org/index.php/AAAI/article/view/26264,,2018
P099,P298,paper-099,paper-298,2023,AAAI 2023,Two Wrongs Don't Make a Right: Combating Confirmation Bias in Learning with Label Noise.,https://ojs.aaai.org/index.php/AAAI/article/view/26725,,2022
P100,P299,paper-100,paper-299,2023,AAAI 2023,Rethinking Label Refurbishment: Model Robustness under Label Noise.,https://ojs.aaai.org/index.php/AAAI/article/view/26751,,2026
P101,P301,paper-101,paper-301,2023,IJCAI 2023,MILD: Modeling the Instance Learning Dynamics for Learning with Noisy Labels.,https://www.ijcai.org/proceedings/2023/92,,2046
P102,P302,paper-102,paper-302,2023,IJCAI 2023,ProMix: Combating Label Noise via Maximizing Clean Sample Utility.,https://www.ijcai.org/proceedings/2023/494,,2051
P103,P321,paper-103,paper-321,2023,Top Journals 2023,A Parametrical Model for Instance-Dependent Label Noise. (Published on TPAMI),https://doi.org/10.1109/TPAMI.2023.3301876,,2169
P104,P322,paper-104,paper-322,2023,Top Journals 2023,Regularly Truncated M-Estimators for Learning With Noisy Labels. (Published on TPAMI),https://doi.org/10.1109/TPAMI.2023.3347850,,2174
P105,P323,paper-105,paper-323,2023,Top Journals 2023,Learning to Learn From Noisy Labeled Data. (Published on TKDE),https://doi.org/10.1109/TKDE.2023.3271677,,2178
P106,P326,paper-106,paper-326,2022,NeurIPS 2022,Class-Dependent Label-Noise Learning with Cycle-Consistency Regularization.,,,2201
P107,P327,paper-107,paper-327,2022,NeurIPS 2022,Robustness to Label Noise Depends on the Shape of the Noise Distribution.,,,2206
P108,P328,paper-108,paper-328,2022,NeurIPS 2022,Noise Attention Learning: Enhancing Noise Robustness by Gradient Scaling.,https://proceedings.neurips.cc/paper_files/paper/2022/hash/92864e1191ed272deb0914b3bb50f97c-Abstract-Conference.html,,2211
P109,P329,paper-109,paper-329,2022,NeurIPS 2022,Confidence-based Reliable Learning under Dual Noises.,https://proceedings.neurips.cc/paper_files/paper/2022/hash/e444859b2a22df6b56af9381ad1e9480-Abstract-Conference.html,,2216
P110,P336,paper-110,paper-336,2022,ICML 2022,To Smooth or Not? When Label Smoothing Meets Noisy Labels.,https://arxiv.org/abs/2106.04149,https://github.com/UCSC-REAL/negative-label-smoothing,2257
P111,P337,paper-111,paper-337,2022,ICML 2022,Detecting Corrupted Labels Without Training a Model to Predict.,https://arxiv.org/abs/2110.06283,https://github.com/UCSC-REAL/SimiFeat,2261
P112,P338,paper-112,paper-338,2022,ICML 2022,Beyond Images: Label Noise Transition Matrix Estimation for Tasks with Lower-Quality Features.,https://arxiv.org/abs/2202.01273,,2266
P113,P339,paper-113,paper-339,2022,ICML 2022,Robust Training under Label Noise by Over-parameterization.,https://arxiv.org/abs/2202.14026,https://github.com/shengliu66/SOP,2271
P114,P340,paper-114,paper-340,2022,ICML 2022,Estimating Instance-dependent Bayes-label Transition Matrix using a Deep Neural Network.,https://proceedings.mlr.press/v162/yang22p.html,,2276
P115,P341,paper-115,paper-341,2022,ICML 2022,Guaranteed Robust Deep Learning against Extreme Label Noise using Self-supervised Learning.,,,2280
P116,P342,paper-116,paper-342,2022,ICML 2022,Robust Meta-learning with Sampling Noise and Label Noise via Eigen-Reptile.,https://arxiv.org/pdf/2206.01944v1.pdf,https://github.com/anfeather/eigen-reptile,2284
P117,P343,paper-117,paper-343,2022,ICML 2022,Guaranteed Robust Deep Learning against Extreme Label Noise using Self-supervised Learning.,,,2288
P118,P344,paper-118,paper-344,2022,ICML 2022,Transfer and Marginalize: Explaining Away Label Noise with Privileged Information.,https://proceedings.mlr.press/v162/collier22a.html,,2292
P119,P347,paper-119,paper-347,2022,ICLR 2022,Resolving Training Biases via Influence-based Data Relabeling.,,,2315
P120,P348,paper-120,paper-348,2022,ICLR 2022,Sample Selection with Uncertainty of Losses for Learning with Noisy Labels.,,,2319
P121,P349,paper-121,paper-349,2022,ICLR 2022,An Information Fusion Approach to Learning with Instance-Dependent Label Noise.,,,2324
P122,P350,paper-122,paper-350,2022,ICLR 2022,Meta Discovery: Learning to Discover Novel Classes given Very Limited Data.,,,2328
P123,P353,paper-123,paper-353,2022,CVPR 2022,Selective-Supervised Contrastive Learning with Noisy Labels.,https://arxiv.org/abs/2203.04181,https://github.com/ShikunLi/Sel-CL,2350
P124,P354,paper-124,paper-354,2022,CVPR 2022,Noise Is Also Useful: Negative Correlation-Steered Latent Contrastive Learning.,https://openaccess.thecvf.com/content/CVPR2022/html/Yan_Noise_Is_Also_Useful_Negative_Correlation-Steered_Latent_Contrastive_Learning_CVPR_2022_paper.html,,2355
P125,P355,paper-125,paper-355,2022,CVPR 2022,PNP: Robust Learning From Noisy Labels by Probabilistic Noise Prediction.,https://openaccess.thecvf.com/content/CVPR2022/html/Sun_PNP_Robust_Learning_From_Noisy_Labels_by_Probabilistic_Noise_Prediction_CVPR_2022_paper.html,,2359
P126,P356,paper-126,paper-356,2022,CVPR 2022,UniCon: Combating Label Noise Through Uniform Selection and Contrastive Learning.,https://openaccess.thecvf.com/content/CVPR2022/html/Karim_UniCon_Combating_Label_Noise_Through_Uniform_Selection_and_Contrastive_Learning_CVPR_2022_paper.html,,2364
P127,P357,paper-127,paper-357,2022,CVPR 2022,Instance-Dependent Label-Noise Learning With Manifold-Regularized Transition Matrix Estimation.,https://openaccess.thecvf.com/content/CVPR2022/html/Cheng_Instance-Dependent_Label-Noise_Learning_With_Manifold-Regularized_Transition_Matrix_Estimation_CVPR_2022_paper.html,,2369
P128,P366,paper-128,paper-366,2022,ECCV 2022,Teaching with Soft Label Smoothing for Mitigating Noisy Labels in Facial Expressions.,https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136720639.pdf,https://github.com/toharl/soft,2421
P129,P367,paper-129,paper-367,2022,ECCV 2022,Learn From All: Erasing Attention Consistency for Noisy Label Facial Expression Recognition.,https://arxiv.org/abs/2207.10299,https://github.com/zyh-uaiaaaa/Erasing-Attention-Consistency,2425
P130,P368,paper-130,paper-368,2022,ECCV 2022,Centrality and Consistency: Two-Stage Clean Samples Identification for Learning with Instance-Dependent Noisy Labels.,https://arxiv.org/abs/2207.14476,https://github.com/uitrbn/TSCSI_IDN,2430
P131,P369,paper-131,paper-369,2022,ECCV 2022,Learning with Noisy Labels by Efficient Transition Matrix Estimation to Combat Label Miscorrection.,https://arxiv.org/abs/2111.14932,https://github.com/hyperconnect/FasTEN,2436
